Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
4025;Pflug, 6-scharig;93 a/h;120.0;0.0;0.93
4030;Eggen gezogen, ohne Antrieb;;0.0;0.0;1.0
4032;Scheibenegge, gezogen, 3 m;142 a/h;140.0;0.0;1.42
4033;Scheibenegge, gezogen, 4 m;192 a/h;190.0;0.0;1.92
4034;Kurzscheibenegge mit Nachwalze, 3 m;142 a/h;94.0;0.0;1.42
4035;Kurzscheibenegge mit Nachwalze, 4 m;192 a/h;175.0;0.0;1.92
4038;Federzinkenegge mit Krümler, 3 m;158 a/h;80.0;0.0;1.58
4039;Federzinkenegge mit Krümler, aufklappbar, 4 m;212 a/h;110.0;0.0;2.12
4040;Federzinkenegge mit Krümler, aufklappbar, 6 m;307 a/h;200.0;0.0;3.07
4050;Eggen mit Antrieb;;0.0;0.0;20.0
4053;Bodenfräse mit Stabkrümler, 2.1 m;65 a/h;66.0;0.0;0.65
4054;Bodenfräse mit Stabkrümler, 2.5 m;76 a/h;97.0;0.0;0.76
4055;Kreiselegge mit Packerwalze, 2.5 m;92 a/h;80.0;0.0;0.92
4056;Kreiselegge mit Packerwalze, 3 m;109 a/h;105.0;0.0;1.09
4057;Kreiselegge mit Packerwalze, 4 m;140 a/h;160.0;0.0;1.4
4058;Zinkenrotor mit Packerwalze, 2.5 m;92 a/h;100.0;0.0;0.92
4059;Zinkenrotor mit Packerwalze, 3 m;109 a/h;105.0;0.0;1.09
4070;Walzen;;0.0;0.0;10.0
4072;Glattwalze, 3 m;184 a/h;30.0;0.0;1.84
4073;Glattwalze, 5 m;303 a/h;76.0;0.0;3.03
4074;Rauhwalze, 2.5 m, einteilig, Dreipunktanbau;156 a/h;38.0;0.0;1.56
4075;Rauhwalze, 3 m, einteilig, Dreipunktanbau;184 a/h;42.0;0.0;1.84
4076;Rauhwalze, 6 m, dreiteilig, gezogen;365 a/h;110.0;0.0;3.65
4077;Rauhwalze, 8 m, dreiteilig, gezogen;492 a/h;165.0;0.0;4.92
4078;Messerwalze, 3 m;300 a/h;125.0;0.0;3.0
4079;Messerwalze, 6 m;500 a/h;230.0;0.0;5.0
